"ano","mes","dia","local","serie","artista","repertorio"
"2009","dezembro","17","Palácio das Artes","Allegro","Fabio Mechetti, regente","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Fabio Mechetti, regente","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Cláudia Azevedo, soprano
","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Cláudia Azevedo, soprano
","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Christopher Pfund, tenor
","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Christopher Pfund, tenor
","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Sebastião Teixeira, barítono","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Sebastião Teixeira, barítono","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Lírico do Theatro Municipal de São Paulo
","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Lírico do Theatro Municipal de São Paulo
","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Mário Zaccaro, regente do coral
","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Mário Zaccaro, regente do coral
","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Lírico de Minas Gerais
Afrânio Lacerda, regente do coral
","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Lírico de Minas Gerais
Afrânio Lacerda, regente do coral
","ORFF | Carmina burana"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Infanto-Juvenil Palácio das Artes
Lara Tanaka, regente do coral","DEBUSSY | La mer"
"2009","dezembro","17","Palácio das Artes","Allegro","Coral Infanto-Juvenil Palácio das Artes
Lara Tanaka, regente do coral","ORFF | Carmina burana"
"2009","dezembro","6","Palácio das Artes","Concertos para a Juventude","Fabio Costa, regente","BEETHOVEN | Abertura Leonora nº 3"
"2009","dezembro","6","Palácio das Artes","Concertos para a Juventude","Fabio Costa, regente","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","dezembro","6","Palácio das Artes","Concertos para a Juventude","Fabio Costa, regente","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Fabio Mechetti, regente
","VILLA-LOBOS | Uirapuru"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Fabio Mechetti, regente
","LISZT | Concerto para piano nº 2 em Lá maior"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Fabio Mechetti, regente
","STRAVINSKY | O canto do rouxinol"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Fabio Mechetti, regente
","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Arnaldo Cohen, piano ","VILLA-LOBOS | Uirapuru"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Arnaldo Cohen, piano ","LISZT | Concerto para piano nº 2 em Lá maior"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Arnaldo Cohen, piano ","STRAVINSKY | O canto do rouxinol"
"2009","novembro","26 e 27","Brasília e Goiânia","Turnê Nacional","Arnaldo Cohen, piano ","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2009","novembro","24","Palácio das Artes","Vivace","Fabio Mechetti, regente
","VILLA-LOBOS | Uirapuru"
"2009","novembro","24","Palácio das Artes","Vivace","Fabio Mechetti, regente
","LISZT | Concerto para piano nº 2 em Lá maior"
"2009","novembro","24","Palácio das Artes","Vivace","Fabio Mechetti, regente
","STRAVINSKY | O canto do rouxinol"
"2009","novembro","24","Palácio das Artes","Vivace","Fabio Mechetti, regente
","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2009","novembro","24","Palácio das Artes","Vivace","Arnaldo Cohen, piano","VILLA-LOBOS | Uirapuru"
"2009","novembro","24","Palácio das Artes","Vivace","Arnaldo Cohen, piano","LISZT | Concerto para piano nº 2 em Lá maior"
"2009","novembro","24","Palácio das Artes","Vivace","Arnaldo Cohen, piano","STRAVINSKY | O canto do rouxinol"
"2009","novembro","24","Palácio das Artes","Vivace","Arnaldo Cohen, piano","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","BRAHMS | Sinfonia n° 2 em Ré maior, op. 73"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","LISLE | A Marselhesa"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","SILVA | Hino Nacional Brasileiro"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","DEBUSSY | Prelúdio para “A tarde de um fauno”"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","RAVEL | Tzigane"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","MASSENET | Thais: Meditação"
"2009","novembro","15","Palácio das Artes","Especial","Alexandra Arrieche, Marcelo Lehninger, ","IBERT | Escales"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","BRAHMS | Sinfonia n° 2 em Ré maior, op. 73"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","LISLE | A Marselhesa"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","SILVA | Hino Nacional Brasileiro"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","DEBUSSY | Prelúdio para “A tarde de um fauno”"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","RAVEL | Tzigane"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","MASSENET | Thais: Meditação"
"2009","novembro","15","Palácio das Artes","Especial","Masayuki Carvalho e Neylson Batista, regentes","IBERT | Escales"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","BRAHMS | Sinfonia n° 2 em Ré maior, op. 73"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","LISLE | A Marselhesa"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","SILVA | Hino Nacional Brasileiro"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","DEBUSSY | Prelúdio para “A tarde de um fauno”"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","RAVEL | Tzigane"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","MASSENET | Thais: Meditação"
"2009","novembro","15","Palácio das Artes","Especial","Fabio Mechetti, regente
","IBERT | Escales"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","BRAHMS | Sinfonia n° 2 em Ré maior, op. 73"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","LISLE | A Marselhesa"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","SILVA | Hino Nacional Brasileiro"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","DEBUSSY | Prelúdio para “A tarde de um fauno”"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","RAVEL | Tzigane"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","MASSENET | Thais: Meditação"
"2009","novembro","15","Palácio das Artes","Especial","Virginie Robilliard, violino","IBERT | Escales"
"2009","novembro","4 e 5","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","STRAVINSKY | Circus Polka"
"2009","novembro","4 e 5","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","SMETANA | A noiva vendida: Dança dos comediantes"
"2009","novembro","4 e 5","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","KABALEVSKY | Os comediantes, op. 26: Suíte"
"2009","novembro","4 e 5","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","J. WILLIAMS | Guerra nas Estrelas: Suíte"
"2009","novembro","4 e 5","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","J. WILLIAMS | E.T."
"2009","outubro","29","Palácio das Artes","Allegro","Fabio Mechetti, regente
","R. NASSIF | véus sobre cores"
"2009","outubro","29","Palácio das Artes","Allegro","Fabio Mechetti, regente
","R. NASSIF | outras cores, novos véus (encomenda | estreia mundial)"
"2009","outubro","29","Palácio das Artes","Allegro","Fabio Mechetti, regente
","MOZART | Concerto para piano nº 21 em Dó maior"
"2009","outubro","29","Palácio das Artes","Allegro","Fabio Mechetti, regente
","MUSSORGSKY/Ravel | Quadros de uma exposição"
"2009","outubro","29","Palácio das Artes","Allegro","Flávio Varani, piano","R. NASSIF | véus sobre cores"
"2009","outubro","29","Palácio das Artes","Allegro","Flávio Varani, piano","R. NASSIF | outras cores, novos véus (encomenda | estreia mundial)"
"2009","outubro","29","Palácio das Artes","Allegro","Flávio Varani, piano","MOZART | Concerto para piano nº 21 em Dó maior"
"2009","outubro","29","Palácio das Artes","Allegro","Flávio Varani, piano","MUSSORGSKY/Ravel | Quadros de uma exposição"
"2009","outubro","22 e 24","CONFERIR","Temporada de Ópera da Fundação Clóvis Salgado","Abel Rocha, regente convidado","SCHOENBERG | Erwartung"
"2009","outubro","22 e 24","CONFERIR","Temporada de Ópera da Fundação Clóvis Salgado","Gilberto Gavronski, diretor de cena","SCHOENBERG | Erwartung"
"2009","outubro","22 e 24","CONFERIR","Temporada de Ópera da Fundação Clóvis Salgado","Eliane Coelho, soprano","SCHOENBERG | Erwartung"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador"," Guia orquestral para jovens, op. 34"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador",""
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","BIZET | Carmem: Prelúdio"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","BRITTEN | Guia orquestral para jovens, op. 34"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","J. WILLIAMS | E.T."
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","J. WILLIAMS | Os caçadores da arca perdida: Marcha"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","KABALEVSKY | Os comediantes, op. 26: Suíte"
"2009","outubro","3 e 4","Contagem e Belo Horizonte","Clássicos na Praça","Fabio Costa, regente
Thiago Carvalho, narrador","J. WILLIAMS | Guerra nas Estrelas: Suíte"
"2009","setembro","28","Palácio das Artes","Vivace","Isaac Karabtchevsky, regente convidado
","BEETHOVEN | Abertura Leonora nº 3, op. 72b"
"2009","setembro","28","Palácio das Artes","Vivace","Isaac Karabtchevsky, regente convidado
","VILLA-LOBOS | Concerto para violão e orquestra"
"2009","setembro","28","Palácio das Artes","Vivace","Isaac Karabtchevsky, regente convidado
","BARTÓK | Concerto para orquestra"
"2009","setembro","28","Palácio das Artes","Vivace","Fabio Zanon, violão","BEETHOVEN | Abertura Leonora nº 3, op. 72b"
"2009","setembro","28","Palácio das Artes","Vivace","Fabio Zanon, violão","VILLA-LOBOS | Concerto para violão e orquestra"
"2009","setembro","28","Palácio das Artes","Vivace","Fabio Zanon, violão","BARTÓK | Concerto para orquestra"
"2009","setembro","20","Betim","Turnê Estadual","Fabio Costa, regente","BIZET | Carmem: Prelúdio"
"2009","setembro","20","Betim","Turnê Estadual","Fabio Costa, regente","BRITTEN | Guia orquestral para jovens, op. 34"
"2009","setembro","20","Betim","Turnê Estadual","Fabio Costa, regente","TCHAIKOVSKY | Romeu e Julieta"
"2009","setembro","20","Betim","Turnê Estadual","Fabio Costa, regente","J. WILLIAMS | Os caçadores da arca perdida: Marcha"
"2009","setembro","20","Betim","Turnê Estadual","Fabio Costa, regente","J. WILLIAMS | Guerra nas Estrelas: Suíte"
"2009","setembro","13","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
Lucas Barros, violoncelo","WEBER | Oberon: Abertura"
"2009","setembro","13","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
Lucas Barros, violoncelo","SAINT-SAËNS | Concerto para violoncelo nº 1 em lá menor, op. 33"
"2009","setembro","13","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
Lucas Barros, violoncelo","GRIEG | Peer Gynt: Suítes nº 1 e nº 2 (trechos selecionados)"
"2009","setembro","9 e 10","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","BIZET | Carmem: Suítes nº 1 e nº 2"
"2009","setembro","9 e 10","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","BRITTEN | Guia orquestral para jovens, op. 34"
"2009","setembro","9 e 10","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","GRIEG | Peer Gynt: Suítes nº 1 e nº 2 (trechos selecionados)"
"2009","setembro","9 e 10","Instituto de Educação de Minas Gerais","Concertos Didáticos","Fabio Costa, regente","J. WILLIAMS | Os caçadores da arca perdida: Marcha"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente
","R. STRAUSS | Don Quixote, op. 35"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Antonio Meneses, violoncelo","R. STRAUSS | Don Quixote, op. 35"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional","Fabio Mechetti, regente","R. STRAUSS | Don Quixote, op. 35"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","WEBER | Oberon: Abertura"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","5 e 6","CONFERIR","Turnê Nacional"," ","R. STRAUSS | Don Quixote, op. 35"
"2009","setembro","3","Palácio das Artes","Allegro","Fabio Mechetti, regente
","WEBER | Oberon: Abertura"
"2009","setembro","3","Palácio das Artes","Allegro","Fabio Mechetti, regente
","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","3","Palácio das Artes","Allegro","Fabio Mechetti, regente
","R. STRAUSS | Don Quixote, op. 35"
"2009","setembro","3","Palácio das Artes","Allegro","Antonio Meneses, violoncelo","WEBER | Oberon: Abertura"
"2009","setembro","3","Palácio das Artes","Allegro","Antonio Meneses, violoncelo","SCHUBERT | Sinfonia nº 5 em Si bemol maior, D. 485"
"2009","setembro","3","Palácio das Artes","Allegro","Antonio Meneses, violoncelo","R. STRAUSS | Don Quixote, op. 35"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
","MOZART | Don Giovanni: Abertura"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Fabio Costa, regente
","BIZET | Carmem: Suítes nº 1 e 2"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Josias Matschulat, piano","MOZART | Don Giovanni: Abertura"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Josias Matschulat, piano","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2009","agosto","23","Instituto de Educação de Minas Gerais","Concertos para a Juventude","Josias Matschulat, piano","BIZET | Carmem: Suítes nº 1 e 2"
"2009","agosto","18","Palácio das Artes","Vivace","Fabio Mechetti, regente
","BERNSTEIN | Candide: Abertura"
"2009","agosto","18","Palácio das Artes","Vivace","Fabio Mechetti, regente
","VILLA-LOBOS | Bachianas Brasileiras nº 3"
"2009","agosto","18","Palácio das Artes","Vivace","Fabio Mechetti, regente
","VILLA-LOBOS | Choros nº 6"
"2009","agosto","18","Palácio das Artes","Vivace","Fabio Mechetti, regente
","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","agosto","18","Palácio das Artes","Vivace","Cristina Ortiz, piano","BERNSTEIN | Candide: Abertura"
"2009","agosto","18","Palácio das Artes","Vivace","Cristina Ortiz, piano","VILLA-LOBOS | Bachianas Brasileiras nº 3"
"2009","agosto","18","Palácio das Artes","Vivace","Cristina Ortiz, piano","VILLA-LOBOS | Choros nº 6"
"2009","agosto","18","Palácio das Artes","Vivace","Cristina Ortiz, piano","BERNSTEIN | West Side Story: Danças Sinfônicas"
"2009","agosto","7 e 8","Caxambu e São Lourenço","Turnê Estadual","Fabio Costa, regente","GOMES | O Guarani: Protofonia"
