compositor,periodo
A. BARROS,CONTEMPORÂNEO
A. EDLER-COPES,CONTEMPORÂNEO
A. VIANA,CONTEMPORÂNEO
A. VIANNA,CONTEMPORÂNEO
ABREU/E. Barros,CONTEMPORÂNEO
ADAMS,CONTEMPORÂNEO
ALBÉNIZ,ROMANTISMO
ALBENIZ/Arbós,ROMANTISMO
ALBINONI,BARROCO
ALMEIDA PRADO,CONTEMPORÂNEO
ALUOTTO,CONTEMPORÂNEO
AMARAL VIEIRA,MODERNO
AMERICANO,CONTEMPORÂNEO
ANDERSON,CONTEMPORÂNEO
ARBAN,ROMANTISMO
ARBAN/M. Nakariakov,ROMANTISMO
ARNOLD,CONTEMPORÂNEO
ARRUDA,CONTEMPORÂNEO
ARUTIUNIAN,CONTEMPORÂNEO
BANDOLIM/E. Barros,CONTEMPORÂNEO
BARBER,ROMANTISMO
BARTÓK,MODERNO
BAX,MODERNO
BECKER,CONTEMPORÂNEO
BEETHOVEN,ROMANTISMO
BERIO,MODERNO
BERLIOZ,ROMANTISMO
BERNSTEIN,CONTEMPORÂNEO
BERNSTEIN/Gale,CONTEMPORÂNEO
BINELLI,CONTEMPORÂNEO
BINICKI,MODERNO
Bis: ABREU,CONTEMPORÂNEO
Bis: ABREU/E. Barros,CONTEMPORÂNEO
Bis: ABREU/E. Barros,CONTEMPORÂNEO
Bis: ANÔNIMO/Roussin,CONTEMPORÂNEO
Bis: BIZET,ROMANTISMO
Bis: BRAHMS,ROMANTISMO
Bis: C. P. E. BACH/Calandrelli,CLASSICISMO
Bis: FERNANDEZ,MODERNO
Bis: GIMENEZ,MODERNO
Bis: GINASTERA,MODERNO
Bis: GOMES,ROMANTISMO
Bis: GUARNIERI,MODERNO
Bis: HAENDEL,BARROCO
Bis: HEIDRICH,CONTEMPORÂNEO
Bis: J. S. BACH/Frackenpohl,BARROCO
Bis: JOBIM,CONTEMPORÂNEO
Bis: MENDELSSOHN/Civil,ROMANTISMO
Bis: OFFENBACH,ROMANTISMO
Bis: R. STRAUSS,ROMANTISMO
Bis: SÉJOURNÉ,CONTEMPORÂNEO
Bis: SMETANA,ROMANTISMO
Bis: TCHAIKOVSKY,ROMANTISMO
Bis: VILLA-LOBOS,MODERNO
BIZET,ROMANTISMO
BLUMER,MODERNO
BOCCHERINI,CLASSICISMO
BOONE,CONTEMPORÂNEO
BORÉM,CONTEMPORÂNEO
BORODIN,ROMANTISMO
BOSMANS,MODERNO
BOTTESINI,ROMANTISMO
BRAGA,MODERNO
BRAHMS,ROMANTISMO
BRAHMS/M. Schmeling,ROMANTISMO
BRAHMS/Schoenberg,ROMANTISMO
BRITTEN,MODERNO
BRUCH,ROMANTISMO
BRUCKNER,ROMANTISMO
BUSONI,ROMANTISMO
C. DOS SANTOS,CONTEMPORÂNEO
C. e M. CIMBLERIS,CLASSICISMO
C. PEREIRA,CONTEMPORÂNEO
CAGE,MODERNO
CALANDRELLI,CONTEMPORÂNEO
CALLADO,CONTEMPORÂNEO
CALLADO/W. Barros,CONTEMPORÂNEO
CASELLA,MODERNO
CASTRO LOBO,BARROCO
CHABRIER,ROMANTISMO
CHAVEZ,MODERNO
CHEETHAM,CONTEMPORÂNEO
CHOPIN,ROMANTISMO
CHOPIN/Glazunov,ROMANTISMO
CIMAROSA,CLASSICISMO
COELHO NETTO,BARROCO
COPLAND,MODERNO
CORIGLIANO,CONTEMPORÂNEO
CRAUSAZ,CONTEMPORÂNEO
CURNOW,CONTEMPORÂNEO
D’RIVERA,CONTEMPORÂNEO
DAVID,ROMANTISMO
DEBUSSY,MODERNO
DEBUSSY/Matthews,MODERNO
DEBUSSY/Molinari,MODERNO
DEBUSSY/Ravel,MODERNO
DEBUSSY/Taillard,MODERNO
DITTERSDORF,CLASSICISMO
DOHNÁNYI,MODERNO
DOM PEDRO I,ROMANTISMO
DORMAN,CONTEMPORÂNEO
DUKAS,MODERNO
DUTILLEUX,MODERNO
DVORÁK,ROMANTISMO
DVORÁK/Hazell,ROMANTISMO
E. CRAUSAZ,CONTEMPORÂNEO
ELGAR,ROMANTISMO
ENESCU,ROMANTISMO
EWALD,MODERNO
F. COSTA,CONTEMPORÂNEO
F. G. ROCHA,BARROCO
F. MORAIS,CONTEMPORÂNEO
FACÓ,CONTEMPORÂNEO
FALLA,MODERNO
FARKAS,CONTEMPORÂNEO
FARNABY/Howarth,RENASCIMENTO
FAURÉ,ROMANTISMO
FERNANDEZ,MODERNO
FERRO,CONTEMPORÂNEO
FRACKENPOHL,CONTEMPORÂNEO
FRANCK,ROMANTISMO
FREITAS,CONTEMPORÂNEO
FRIEDMAN & SAMUELS,MODERNO
G. GAGLIARDI,CONTEMPORÂNEO
GABRIELI,BARROCO
GABRIELI/Wicki,BARROCO
GARLAND,CONTEMPORÂNEO
GERSHWIN,CONTEMPORÂNEO
GERSHWIN/Bennett,CONTEMPORÂNEO
GERSHWIN/Grofé,CONTEMPORÂNEO
GERSHWIN/Taillard,CONTEMPORÂNEO
GINASTERA,MODERNO
GIORDANO,MODERNO
GLAZUNOV,MODERNO
GLINKA,ROMANTISMO
GNATTALI,MODERNO
GNATTALLI,MODERNO
GOMES,ROMANTISMO
GOROSITO,CONTEMPORÂNEO
GOROSITO & ALBERTO,CONTEMPORÂNEO
GOUNOD,ROMANTISMO
GREEN,MODERNO
GRIEG,ROMANTISMO
GUARNIERI,MODERNO
GUERRA-PEIXE,MODERNO
GUERRA-PEIXE/Araújo,MODERNO
GUIMARÃES,CONTEMPORÂNEO
H. SANTANA,CONTEMPORÂNEO
HAENDEL,BARROCO
HAENDEL/Bill Holcombe Jr.,BARROCO
HAENDEL/Stember,BARROCO
HAYAKAWA,CONTEMPORÂNEO
HAYDN,CLASSICISMO
HAYDN/Perry,CLASSICISMO
HERBERT,MODERNO
HIME,CONTEMPORÂNEO
HINDEMITH,MODERNO
HOLST,MODERNO
HONEGGER,MODERNO
HONNEGER,MODERNO
HORTA JÚNIOR,CONTEMPORÂNEO
HUMMEL,CLASSICISMO
IAZZETTA,CONTEMPORÂNEO
IBERT,MODERNO
J. C. BACH,CLASSICISMO
J. P. SOUSA,ROMANTISMO
J. REIS,CONTEMPORÂNEO
J. S. BACH,BARROCO
J. S. BACH/Frackenpohl,BARROCO
J. S. BACH/Humphreys,BARROCO
J. S. BACH/Stokowski,BARROCO
J. S. BACH/Stokowsky,BARROCO
J. S. BACH/Webern,BARROCO
J. STRAUSS JR.,ROMANTISMO
J. WILLIAMS,CONTEMPORÂNEO
K-XIMBINHO,CONTEMPORÂNEO
K-XIMBINHO/E. Barros,CONTEMPORÂNEO
KABALEVSKY,ROMANTISMO
KALINNIKOV,RENASCIMENTO
KALLINIKOV,RENASCIMENTO
KATCHATURIAN,MODERNO
KERNIS,CONTEMPORÂNEO
KETÈLBEY,MODERNO
KHATCHATURIAN,MODERNO
KODÁLY,MODERNO
KORNGOLD,MODERNO
KREISLER,ROMANTISMO
KREISLER/Korp & Hainzl,ROMANTISMO
KRIEGER,MODERNO
KUISMA,CONTEMPORÂNEO
L. A. IRLANDINI,CONTEMPORÂNEO
L. MOZART,CLASSICISMO
LACERDA,CONTEMPORÂNEO
LALO,ROMANTISMO
LANNA,CONTEMPORÂNEO
LEVITAN,CONTEMPORÂNEO
LEVY,MODERNO
LIGET,MODERNO
LIGETI,MODERNO
LISLE,ROMANTISMO
LISZT,ROMANTISMO
LISZT/Müller-Berghaus,ROMANTISMO
LOBO DE MESQUITA,BARROCO
LORENZ,CONTEMPORÂNEO
LUTOSLAWSKI,CONTEMPORÂNEO
LUTTERBACH,CONTEMPORÂNEO
M. BITONDI,CONTEMPORÂNEO
M. FILHO,CONTEMPORÂNEO
M. LUCAS,CONTEMPORÂNEO
M. REZENDE,CONTEMPORÂNEO
M. SIQUEIRA,CONTEMPORÂNEO
M. T. FERREIRA,BARROCO
MAHLER,ROMANTISMO
MARGUTTI,CONTEMPORÂNEO
MARQUEZ,CONTEMPORÂNEO
MÁRQUEZ,CONTEMPORÂNEO
MASCAGNI,ROMANTISMO
MASSENET,ROMANTISMO
MEDAGLIA,CONTEMPORÂNEO
MEDTNER,CONTEMPORÂNEO
MEHMARI,CONTEMPORÂNEO
MEINE,CONTEMPORÂNEO
MENDELSSOHN,ROMANTISMO
MENDELSSOHN/Civil,ROMANTISMO
MESSIAEN,MODERNO
MICHEL,CONTEMPORÂNEO
MIGNONE,MODERNO
MIGUEZ,MODERNO
MIKI,CONTEMPORÂNEO
MILHAUD,MODERNO
MIRANDA,CONTEMPORÂNEO
MONCAYO,MODERNO
MOZART,CLASSICISMO
MOZART/Humphreys,CLASSICISMO
MUSSORGSKY,ROMANTISMO
MUSSORGSKY/Ravel,ROMANTISMO
NASCIMENTO,CONTEMPORÂNEO
NASSIF,CONTEMPORÂNEO
NEPOMUCENO,MODERNO
NICOLAI,ROMANTISMO
NIELSEN,ROMANTISMO
NOBRE,CONTEMPORÂNEO
NUNES GARCIA,BARROCO
O. LANNA,CONTEMPORÂNEO
ORFF,MODERNO
ORREGO-SALAS,CONTEMPORÂNEO
P. ARRUDA,CONTEMPORÂNEO
PACHECO,CONTEMPORÂNEO
PACHELBEL,BARROCO
PADOVANI,CONTEMPORÂNEO
PAGANINI,ROMANTISMO
PASCOAL,CONTEMPORÂNEO
PECK,CONTEMPORÂNEO
PENDERECKI,CONTEMPORÂNEO
PENIDO,CONTEMPORÂNEO
PETRASSI,MODERNO
PIAZZOLLA,CONTEMPORÂNEO
PIAZZOLLA/Garofali,CONTEMPORÂNEO
PIAZZOLLA/Mechetti,CONTEMPORÂNEO
PLOG,CONTEMPORÂNEO
PONCHIELLI,ROMANTISMO
POULENC,ROMANTISMO
PROKOFIEV,MODERNO
PUCCINI,ROMANTISMO
PURCELL,BARROCO
R. GOULART,CONTEMPORÂNEO
R. HYPPOLITO,CONTEMPORÂNEO
R. NASSIF,CONTEMPORÂNEO
R. STRAUSS,ROMANTISMO
R. VIEIRA,NA
RACHMANINOV,ROMANTISMO
RAFF,ROMANTISMO
RAVEL,MODERNO
REICH,CONTEMPORÂNEO
REIS,CONTEMPORÂNEO
RESPIGHI,MODERNO
REVUELTAS,MODERNO
RIMSKY-KORSAKOV,ROMANTISMO
RIMSKY-KORSAKOV/Cable,ROMANTISMO
RIPPER,CONTEMPORÂNEO
RODRIGO,MODERNO
ROSAURO,CONTEMPORÂNEO
ROSSINI,ROMANTISMO
S. RODRIGO,CONTEMPORÂNEO
S. RODRIGO,CONTEMPORÂNEO
S. SCHEIDT,RENASCIMENTO
SAINT-SAËNS,ROMANTISMO
SAINT-SAËNS,ROMANTISMO
SALIERI,CLASSICISMO
SANTORO,CONTEMPORÂNEO
SANTOS,CONTEMPORÂNEO
SARASATE,ROMANTISMO
SATIE,MODERNO
SATIE/Debussy,MODERNO
SCHEIDT,RENASCIMENTO
SCHOENBERG,MODERNO
SCHUBERT,ROMANTISMO
SCHUMANN,ROMANTISMO
SCRIABIN,ROMANTISMO
SHOSTAKOVICH,MODERNO
SIBELIUS,ROMANTISMO
SILVA,ROMANTISMO
SMETANA,ROMANTISMO
SORO,MODERNO
STEIDLE,CONTEMPORÂNEO
STRAVINSKY,MODERNO
SUPPÉ,ROMANTISMO
SZYMANOWSKI,CONTEMPORÂNEO
TAKEMITSU,CONTEMPORÂNEO
TAVARES,MODERNO
TCHAIKOVSKY,ROMANTISMO
TELEMANN,BARROCO
TICHELI,CONTEMPORÂNEO
TIPPETT,CONTEMPORÂNEO
TOLDRÀ,MODERNO
TOYAMA,CONTEMPORÂNEO
TURINA,MODERNO
V. ALEXIM,CONTEMPORÂNEO
VASCONCELLOS CORRÊA,CONTEMPORÂNEO
VASCONCELOS,CONTEMPORÂNEO
VAUGHAN WILLIAMS,MODERNO
VELASCO,CONTEMPORÂNEO
VERDAN,CONTEMPORÂNEO
VERDI,ROMANTISMO
VIANA,CONTEMPORÂNEO
VILLA-LOBOS,MODERNO
VINE,CONTEMPORÂNEO
VITTA,CONTEMPORÂNEO
VIVALDI,BARROCO
WAGNER,ROMANTISMO
WAGNER/Maazel,ROMANTISMO
WEBER,ROMANTISMO
WEBERN,MODERNO
WIENIAWSKI,ROMANTISMO
XAVIER,CONTEMPORÂNEO
YOSHIMATSU,CONTEMPORÂNEO
ZAMPRONHA,CONTEMPORÂNEO
ZARE,CONTEMPORÂNEO
ZEMLINSKY,MODERNO
